transaccion_id,cliente_id,monto,categoria,fecha,categoria_nombre,mes,margen_beneficio,proveedor_principal,precio_promedio_mercado,participacion_mercado,crecimiento_anual,competidores_principales,rating_promedio,beneficio,año,trimestre,dia_semana,es_fin_semana,beneficio_calculado,categoria_rentabilidad,tipo_compra,nombre_dia,monto_normalizado,valor_cliente,categoria_ingreso,fidelidad
22,5,48.17234054591676,4,2024-09-02,Deportes,9,0.35,SportPro,119.99,0.12,0.15,10,4.3,16.860319191070865,2024,3,0,False,16.860319191070865,Baja,Micro,Lunes,0.1622452865896453,Riesgo,Medio,Insatisfecho
23,5,127.30364241938656,4,2024-01-07,Deportes,1,0.35,SportPro,119.99,0.12,0.15,10,4.3,44.55627484678529,2024,1,6,True,44.55627484678529,Media,Pequeña,Domingo,0.4436008269999338,Riesgo,Medio,Insatisfecho
24,5,79.96181163795093,2,2024-08-01,Ropa y Accesorios,8,0.4,Proveedor_Desconocido,89.99,0.22,0.12,12,4.5,31.98472465518037,2024,3,3,False,31.98472465518037,Media,Pequeña,Jueves,0.2752744369599769,Riesgo,Medio,Insatisfecho
25,5,57.67161021085949,3,2024-03-18,Hogar y Jardín,3,0.3,HomeMax,149.99,0.18,0.06,15,4.1,17.301483063257848,2024,1,0,False,17.301483063257848,Baja,Pequeña,Lunes,0.1960204436615787,Riesgo,Medio,Insatisfecho
26,5,40.21375471593576,2,2024-07-07,Ropa y Accesorios,7,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,16.085501886374303,2024,3,6,True,16.085501886374303,Baja,Micro,Domingo,0.1339481126005655,Riesgo,Medio,Insatisfecho
27,6,97.59586628063563,1,2024-11-02,Electrónicos,11,0.25,TechCorp,299.99,0.15,0.08,8,4.2,24.39896657015891,2024,4,5,True,24.39896657015891,Baja,Pequeña,Sábado,0.3379732534352878,Riesgo,Medio,Insatisfecho
28,6,118.65642856030811,2,2024-08-03,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,47.46257142412325,2024,3,5,True,47.46257142412325,Media,Pequeña,Sábado,0.4128551995331369,Riesgo,Medio,Insatisfecho
29,6,102.98545553287596,3,2024-10-09,Hogar y Jardín,10,0.3,HomeMax,149.99,0.18,0.06,15,4.1,30.895636659862788,2024,4,2,False,30.895636659862788,Media,Pequeña,Miércoles,0.357136223849679,Riesgo,Medio,Insatisfecho
30,6,26.744679722190305,1,2024-11-14,Electrónicos,11,0.25,TechCorp,299.99,0.15,0.08,8,4.2,6.686169930547576,2024,4,3,False,6.686169930547576,Baja,Micro,Jueves,0.0860581021499415,Riesgo,Medio,Insatisfecho
31,6,48.08622952500886,4,2024-03-01,Deportes,3,0.35,SportPro,119.99,0.12,0.15,10,4.3,16.8301803337531,2024,1,4,False,16.8301803337531,Baja,Micro,Viernes,0.1619391142880501,Riesgo,Medio,Insatisfecho
32,6,51.860044731700405,1,2024-03-01,Electrónicos,3,0.25,TechCorp,299.99,0.15,0.08,8,4.2,12.9650111829251,2024,1,4,False,12.9650111829251,Baja,Pequeña,Viernes,0.1753571143935589,Riesgo,Medio,Insatisfecho
33,6,15.15341295549566,2,2024-08-02,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,6.061365182198265,2024,3,4,False,6.061365182198265,Baja,Micro,Viernes,0.0448447384370845,Riesgo,Medio,Insatisfecho
34,7,87.47245586916509,1,2024-02-14,Electrónicos,2,0.25,TechCorp,299.99,0.15,0.08,8,4.2,21.868113967291272,2024,1,2,False,21.868113967291272,Baja,Pequeña,Miércoles,0.3019789308387911,Medio_Valor,Medio,Neutral
35,7,94.75472520771297,2,2024-06-20,Ropa y Accesorios,6,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,37.90189008308519,2024,2,3,False,37.90189008308519,Media,Pequeña,Jueves,0.3278714256752415,Medio_Valor,Medio,Neutral
36,7,92.87379247393758,1,2024-08-08,Electrónicos,8,0.25,TechCorp,299.99,0.15,0.08,8,4.2,23.2184481184844,2024,3,3,False,23.2184481184844,Baja,Pequeña,Jueves,0.321183669588112,Medio_Valor,Medio,Neutral
37,8,84.22523710094563,1,2024-04-04,Electrónicos,4,0.25,TechCorp,299.99,0.15,0.08,8,4.2,21.05630927523641,2024,2,3,False,21.05630927523641,Baja,Pequeña,Jueves,0.2904332722974507,Riesgo,Medio,Insatisfecho
38,8,54.6990665066722,2,2024-12-12,Ropa y Accesorios,12,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,21.87962660266888,2024,4,3,False,21.87962660266888,Baja,Pequeña,Jueves,0.1854514068773474,Riesgo,Medio,Insatisfecho
39,8,39.16457666857418,2,2024-02-13,Ropa y Accesorios,2,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,15.665830667429672,2024,1,1,False,15.665830667429672,Baja,Micro,Martes,0.1302177044117297,Riesgo,Medio,Insatisfecho
40,9,54.57729827569507,2,2024-08-15,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,21.83091931027803,2024,3,3,False,21.83091931027803,Baja,Pequeña,Jueves,0.1850184534743292,Alto_Valor,Alto,Satisfecho
41,9,80.34050745384087,1,2024-03-02,Electrónicos,3,0.25,TechCorp,299.99,0.15,0.08,8,4.2,20.08512686346021,2024,1,5,True,20.085126863460214,Baja,Pequeña,Sábado,0.2766209100168867,Alto_Valor,Alto,Satisfecho
42,9,133.94649226637853,2,2024-11-12,Ropa y Accesorios,11,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,53.57859690655141,2024,4,1,False,53.57859690655141,Media,Pequeña,Martes,0.4672198319235903,Alto_Valor,Alto,Satisfecho
43,10,69.90228498812716,2,2024-08-06,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,27.960913995250863,2024,3,1,False,27.960913995250863,Media,Pequeña,Martes,0.2395072564659861,Riesgo,Bajo,Insatisfecho
44,10,68.4817412037556,2,2024-11-30,Ropa y Accesorios,11,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,27.39269648150224,2024,4,5,True,27.39269648150224,Media,Pequeña,Sábado,0.2344564377044369,Riesgo,Bajo,Insatisfecho
45,10,16.297556749398577,4,2024-03-29,Deportes,3,0.35,SportPro,119.99,0.12,0.15,10,4.3,5.7041448622895015,2024,1,4,False,5.7041448622895015,Baja,Micro,Viernes,0.0489128023741011,Riesgo,Bajo,Insatisfecho
46,10,83.47869401794499,2,2024-04-21,Ropa y Accesorios,4,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,33.391477607178,2024,2,6,True,33.391477607178,Media,Pequeña,Domingo,0.2877788987741505,Riesgo,Bajo,Insatisfecho
47,10,139.39665619886406,2,2024-07-25,Ropa y Accesorios,7,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,55.75866247954563,2024,3,3,False,55.75866247954563,Media,Pequeña,Jueves,0.4865981788260723,Riesgo,Bajo,Insatisfecho
48,10,62.28131510314998,5,2024-11-01,Libros y Medios,11,0.45,BookHub,24.99,0.08,-0.03,25,4.7,28.02659179641749,2024,4,4,False,28.02659179641749,Media,Pequeña,Viernes,0.2124104938742768,Riesgo,Bajo,Insatisfecho
49,10,59.43021437390368,4,2024-07-21,Deportes,7,0.35,SportPro,119.99,0.12,0.15,10,4.3,20.800575030866288,2024,3,6,True,20.800575030866288,Baja,Pequeña,Domingo,0.2022732540279777,Riesgo,Bajo,Insatisfecho
50,10,52.48192328682701,5,2024-10-23,Libros y Medios,10,0.45,BookHub,24.99,0.08,-0.03,25,4.7,23.61686547907216,2024,4,2,False,23.61686547907216,Baja,Pequeña,Miércoles,0.1775682365766235,Riesgo,Bajo,Insatisfecho
51,10,99.49329897987076,3,2024-02-02,Hogar y Jardín,2,0.3,HomeMax,149.99,0.18,0.06,15,4.1,29.847989693961225,2024,1,4,False,29.847989693961225,Media,Pequeña,Viernes,0.3447196760246581,Riesgo,Bajo,Insatisfecho
52,11,15.679247563047127,2,2024-08-02,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,6.271699025218851,2024,3,4,False,6.271699025218851,Baja,Micro,Viernes,0.0467143712710121,Medio_Valor,Alto,Neutral
53,11,127.37419531495676,1,2024-01-12,Electrónicos,1,0.25,TechCorp,299.99,0.15,0.08,8,4.2,31.84354882873919,2024,1,4,False,31.84354882873919,Media,Pequeña,Viernes,0.4438516815617911,Medio_Valor,Alto,Neutral
54,11,57.82434263532787,3,2024-01-02,Hogar y Jardín,1,0.3,HomeMax,149.99,0.18,0.06,15,4.1,17.347302790598363,2024,1,1,False,17.347302790598363,Baja,Pequeña,Martes,0.1965634918966904,Medio_Valor,Alto,Neutral
55,11,84.36622062360914,5,2024-12-28,Libros y Medios,12,0.45,BookHub,24.99,0.08,-0.03,25,4.7,37.96479928062411,2024,4,5,True,37.96479928062411,Media,Pequeña,Sábado,0.2909345466891113,Medio_Valor,Alto,Neutral
56,11,103.96037143397513,3,2024-05-28,Hogar y Jardín,5,0.3,HomeMax,149.99,0.18,0.06,15,4.1,31.18811143019253,2024,2,1,False,31.18811143019253,Media,Pequeña,Martes,0.3606025890391073,Medio_Valor,Alto,Neutral
57,11,35.94586470340535,4,2024-05-21,Deportes,5,0.35,SportPro,119.99,0.12,0.15,10,4.3,12.581052646191871,2024,2,1,False,12.581052646191871,Baja,Micro,Martes,0.1187734033204474,Medio_Valor,Alto,Neutral
58,11,65.85680324965082,2,2024-10-16,Ropa y Accesorios,10,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,26.34272129986033,2024,4,2,False,26.34272129986033,Media,Pequeña,Miércoles,0.2251233315993263,Medio_Valor,Alto,Neutral
59,12,57.05040504040605,2,2024-07-25,Ropa y Accesorios,7,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,22.82016201616242,2024,3,3,False,22.82016201616242,Baja,Pequeña,Jueves,0.1938117157334313,Riesgo,Medio,Insatisfecho
60,12,30.256625803686354,5,2024-12-06,Libros y Medios,12,0.45,BookHub,24.99,0.08,-0.03,25,4.7,13.61548161165886,2024,4,4,False,13.61548161165886,Baja,Micro,Viernes,0.0985450126930169,Riesgo,Medio,Insatisfecho
61,13,118.12766274060571,4,2024-07-10,Deportes,7,0.35,SportPro,119.99,0.12,0.15,10,4.3,41.344681959212,2024,3,2,False,41.344681959212,Media,Pequeña,Miércoles,0.4109751446189546,Alto_Valor,Premium,Muy_Satisfecho
62,13,54.20470180340974,5,2024-12-06,Libros y Medios,12,0.45,BookHub,24.99,0.08,-0.03,25,4.7,24.392115811534385,2024,4,4,False,24.392115811534385,Baja,Pequeña,Viernes,0.1836936669570743,Alto_Valor,Premium,Muy_Satisfecho
63,14,29.37911223493009,4,2024-11-01,Deportes,11,0.35,SportPro,119.99,0.12,0.15,10,4.3,10.282689282225531,2024,4,4,False,10.282689282225531,Baja,Micro,Viernes,0.0954249666618072,Bajo_Valor,Bajo,Neutral
64,14,68.30115539486337,2,2024-09-08,Ropa y Accesorios,9,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,27.32046215794535,2024,3,6,True,27.32046215794535,Media,Pequeña,Domingo,0.2338143552838475,Bajo_Valor,Bajo,Neutral
65,14,23.81604430747729,2,2024-07-22,Ropa y Accesorios,7,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,9.526417722990915,2024,3,0,False,9.526417722990915,Baja,Micro,Lunes,0.0756451836175402,Bajo_Valor,Bajo,Neutral
66,14,49.89786430238118,5,2024-12-27,Libros y Medios,12,0.45,BookHub,24.99,0.08,-0.03,25,4.7,22.45403893607153,2024,4,4,False,22.45403893607153,Baja,Micro,Viernes,0.1683804778160847,Bajo_Valor,Bajo,Neutral
67,15,79.4015537607004,3,2024-02-15,Hogar y Jardín,2,0.3,HomeMax,149.99,0.18,0.06,15,4.1,23.82046612821012,2024,1,3,False,23.82046612821012,Baja,Pequeña,Jueves,0.2732824103650524,Riesgo,Alto,Insatisfecho
68,15,21.995064511977315,1,2024-09-17,Electrónicos,9,0.25,TechCorp,299.99,0.15,0.08,8,4.2,5.498766127994329,2024,3,1,False,5.498766127994329,Baja,Micro,Martes,0.069170593381955,Riesgo,Alto,Insatisfecho
69,15,95.8811270655061,2,2024-03-06,Ropa y Accesorios,3,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,38.35245082620244,2024,1,2,False,38.35245082620244,Media,Pequeña,Miércoles,0.3318764072175051,Riesgo,Alto,Insatisfecho
70,15,70.45828391656028,2,2024-05-29,Ropa y Accesorios,5,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,28.18331356662411,2024,2,2,False,28.18331356662411,Media,Pequeña,Miércoles,0.2414841401425238,Riesgo,Alto,Insatisfecho
71,15,104.29983730665252,1,2024-03-10,Electrónicos,3,0.25,TechCorp,299.99,0.15,0.08,8,4.2,26.07495932666313,2024,1,6,True,26.07495932666313,Media,Pequeña,Domingo,0.3618095779524291,Riesgo,Alto,Insatisfecho
72,15,103.64234390376711,3,2024-12-29,Hogar y Jardín,12,0.3,HomeMax,149.99,0.18,0.06,15,4.1,31.09270317113013,2024,4,6,True,31.09270317113013,Media,Pequeña,Domingo,0.3594718252893829,Riesgo,Alto,Insatisfecho
73,16,48.79750180551812,1,2024-01-02,Electrónicos,1,0.25,TechCorp,299.99,0.15,0.08,8,4.2,12.19937545137953,2024,1,1,False,12.19937545137953,Baja,Micro,Martes,0.1644680806025628,Riesgo,Medio,Insatisfecho
74,16,49.6616095736012,2,2024-01-29,Ropa y Accesorios,1,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,19.86464382944048,2024,1,0,False,19.86464382944048,Baja,Micro,Lunes,0.1675404615985243,Riesgo,Medio,Insatisfecho
75,16,88.01589081894285,4,2024-09-12,Deportes,9,0.35,SportPro,119.99,0.12,0.15,10,4.3,30.80556178663,2024,3,3,False,30.805561786629998,Media,Pequeña,Jueves,0.3039111426229097,Riesgo,Medio,Insatisfecho
76,16,32.180999666622746,2,2024-03-01,Ropa y Accesorios,3,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,12.8723998666491,2024,1,4,False,12.8723998666491,Baja,Micro,Viernes,0.1053872260187075,Riesgo,Medio,Insatisfecho
77,16,32.33032876752605,4,2024-04-09,Deportes,4,0.35,SportPro,119.99,0.12,0.15,10,4.3,11.315615068634116,2024,2,1,False,11.315615068634116,Baja,Micro,Martes,0.1059181735563939,Riesgo,Medio,Insatisfecho
78,16,44.5239795455124,2,2024-05-23,Ropa y Accesorios,5,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,17.80959181820496,2024,2,3,False,17.80959181820496,Baja,Micro,Jueves,0.1492733455678492,Riesgo,Medio,Insatisfecho
79,16,25.388551001980588,5,2024-07-10,Libros y Medios,7,0.45,BookHub,24.99,0.08,-0.03,25,4.7,11.424847950891264,2024,3,2,False,11.424847950891264,Baja,Micro,Miércoles,0.0812363145651672,Riesgo,Medio,Insatisfecho
80,16,29.14221032997952,1,2024-12-18,Electrónicos,12,0.25,TechCorp,299.99,0.15,0.08,8,4.2,7.28555258249488,2024,4,2,False,7.28555258249488,Baja,Micro,Miércoles,0.0945826493750504,Riesgo,Medio,Insatisfecho
81,16,29.836419393521112,1,2024-12-18,Electrónicos,12,0.25,TechCorp,299.99,0.15,0.08,8,4.2,7.459104848380278,2024,4,2,False,7.459104848380278,Baja,Micro,Miércoles,0.0970509465167147,Riesgo,Medio,Insatisfecho
82,17,54.32903879482556,4,2024-09-26,Deportes,9,0.35,SportPro,119.99,0.12,0.15,10,4.3,19.015163578188943,2024,3,3,False,19.015163578188943,Baja,Pequeña,Jueves,0.1841357537240622,Bajo_Valor,Bajo,Muy_Satisfecho
83,17,52.7700551428562,4,2024-10-25,Deportes,10,0.35,SportPro,119.99,0.12,0.15,10,4.3,18.469519299999668,2024,4,4,False,18.469519299999668,Baja,Pequeña,Viernes,0.1785927046713371,Bajo_Valor,Bajo,Muy_Satisfecho
84,17,113.34919547342612,1,2024-11-21,Electrónicos,11,0.25,TechCorp,299.99,0.15,0.08,8,4.2,28.33729886835653,2024,4,3,False,28.33729886835653,Media,Pequeña,Jueves,0.3939850508323018,Bajo_Valor,Bajo,Muy_Satisfecho
85,17,54.93995781530371,5,2024-11-06,Electrónicos,11,0.45,BookHub,24.99,0.08,-0.03,25,4.7,24.722981016886667,2024,4,2,False,24.722981016886667,Baja,Pequeña,Miércoles,0.1863079087004632,Bajo_Valor,Bajo,Muy_Satisfecho
86,17,62.84964088469061,2,2024-07-22,Ropa y Accesorios,7,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,25.139856353876244,2024,3,0,False,25.139856353876244,Media,Pequeña,Lunes,0.2144312063307728,Bajo_Valor,Bajo,Muy_Satisfecho
87,17,165.1943359755445,5,2024-09-01,Libros y Medios,9,0.45,BookHub,24.99,0.08,-0.03,25,4.7,74.33745118899503,2024,3,6,True,74.33745118899503,Media,Grande,Domingo,0.5783231974098115,Bajo_Valor,Bajo,Muy_Satisfecho
88,17,10.59246174808844,2,2024-01-31,Ropa y Accesorios,1,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,4.236984699235376,2024,1,2,False,4.236984699235376,Baja,Micro,Miércoles,0.0286280345365608,Bajo_Valor,Bajo,Muy_Satisfecho
89,17,74.96638704930267,2,2024-11-27,Ropa y Accesorios,11,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,29.986554819721068,2024,4,2,False,29.986554819721068,Media,Pequeña,Miércoles,0.2575129399108655,Bajo_Valor,Bajo,Muy_Satisfecho
90,17,57.87816237446718,2,2024-02-21,Ropa y Accesorios,2,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,23.151264949786874,2024,1,2,False,23.151264949786874,Baja,Pequeña,Miércoles,0.196754850833442,Bajo_Valor,Bajo,Muy_Satisfecho
91,17,79.47323969996664,2,2024-08-30,Ropa y Accesorios,8,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,31.789295879986657,2024,3,4,False,31.789295879986657,Media,Pequeña,Viernes,0.2735372935238601,Bajo_Valor,Bajo,Muy_Satisfecho
92,17,46.357093971489824,2,2024-09-19,Ropa y Accesorios,9,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,18.54283758859593,2024,3,3,False,18.54283758859593,Baja,Micro,Jueves,0.1557910811256373,Bajo_Valor,Bajo,Muy_Satisfecho
93,18,54.72072467389172,2,2024-06-22,Ropa y Accesorios,6,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,21.88828986955669,2024,2,5,True,21.88828986955669,Baja,Pequeña,Sábado,0.1855284136395019,Bajo_Valor,Bajo,Satisfecho
94,18,130.47078851413377,1,2024-04-09,Electrónicos,4,0.25,TechCorp,299.99,0.15,0.08,8,4.2,32.61769712853344,2024,2,1,False,32.61769712853344,Media,Pequeña,Martes,0.4548617829042204,Bajo_Valor,Bajo,Satisfecho
95,18,87.3172860130477,1,2024-03-01,Electrónicos,3,0.25,TechCorp,299.99,0.15,0.08,8,4.2,21.829321503261927,2024,1,4,False,21.829321503261927,Baja,Pequeña,Viernes,0.3014272161861863,Bajo_Valor,Bajo,Satisfecho
96,18,56.44627658044741,1,2024-12-25,Electrónicos,12,0.25,TechCorp,299.99,0.15,0.08,8,4.2,14.111569145111853,2024,4,2,False,14.111569145111853,Baja,Pequeña,Miércoles,0.1916637049550836,Bajo_Valor,Bajo,Satisfecho
97,19,39.79173534838124,4,2024-07-06,Deportes,7,0.35,SportPro,119.99,0.12,0.15,10,4.3,13.927107371933433,2024,3,5,True,13.927107371933433,Baja,Micro,Sábado,0.1324476003581185,Riesgo,Medio,Insatisfecho
98,19,32.10012751645449,3,2024-01-07,Hogar y Jardín,1,0.3,HomeMax,149.99,0.18,0.06,15,4.1,9.630038254936348,2024,1,6,True,9.630038254936348,Baja,Micro,Domingo,0.1050996807998621,Riesgo,Medio,Insatisfecho
99,19,48.25811772841722,4,2024-07-07,Deportes,7,0.35,SportPro,119.99,0.12,0.15,10,4.3,16.890341204946026,2024,3,6,True,16.890341204946026,Baja,Micro,Domingo,0.1625502719110783,Riesgo,Medio,Insatisfecho
100,19,59.59929671932935,5,2024-03-23,Libros y Medios,3,0.45,BookHub,24.99,0.08,-0.03,25,4.7,26.81968352369821,2024,1,5,True,26.81968352369821,Media,Pequeña,Sábado,0.2028744352741444,Riesgo,Medio,Insatisfecho
101,19,164.84860296753516,3,2024-12-16,Hogar y Jardín,12,0.3,HomeMax,149.99,0.18,0.06,15,4.1,49.454580890260544,2024,4,0,False,49.454580890260544,Media,Grande,Lunes,0.5770939253644497,Riesgo,Medio,Insatisfecho
102,19,71.76568903764195,5,2024-10-09,Libros y Medios,10,0.45,BookHub,24.99,0.08,-0.03,25,4.7,32.29456006693888,2024,4,2,False,32.29456006693888,Media,Pequeña,Miércoles,0.2461326883866219,Riesgo,Medio,Insatisfecho
103,19,42.96550284653903,2,2024-05-03,Ropa y Accesorios,5,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,17.186201138615612,2024,2,4,False,17.186201138615612,Baja,Micro,Viernes,0.1437320990133868,Riesgo,Medio,Insatisfecho
104,20,10.636474519811678,1,2024-06-05,Electrónicos,6,0.25,TechCorp,299.99,0.15,0.08,8,4.2,2.6591186299529195,2024,2,2,False,2.6591186299529195,Baja,Micro,Miércoles,0.0287845242805681,Medio_Valor,Medio,Neutral
105,20,39.04024169067812,2,2024-03-27,Ropa y Accesorios,3,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,15.61609667627125,2024,1,2,False,15.61609667627125,Baja,Micro,Miércoles,0.1297756248039181,Medio_Valor,Medio,Neutral
106,20,48.3000529589868,2,2024-05-27,Ropa y Accesorios,5,0.4,FashionWorld,89.99,0.22,0.12,12,4.5,19.32002118359472,2024,2,0,False,19.32002118359472,Baja,Micro,Lunes,0.1626993748473347,Medio_Valor,Medio,Neutral
107,20,75.93311489105434,4,2024-03-10,Deportes,3,0.35,SportPro,119.99,0.12,0.15,10,4.3,26.57659021186901,2024,1,6,True,26.576590211869014,Media,Pequeña,Domingo,0.2609501920210435,Medio_Valor,Medio,Neutral
